threshold,precision,recall,f1,tp,fp,tn,fn
0.01,0.018241042345276872,1.0,0.03582853486884197,56,3014,116,0
0.010981963927855712,0.018451400329489293,1.0,0.03623422840504691,56,2979,151,0
0.011963927855711423,0.018697829716193656,1.0,0.036709275647328746,56,2939,191,0
0.012945891783567136,0.018938112952316538,1.0,0.03717225356787255,56,2901,229,0
0.013927855711422847,0.019184652278177457,1.0,0.03764705882352941,56,2863,267,0
0.014909819639278558,0.019464720194647202,1.0,0.03818615751789976,56,2821,309,0
0.01589178356713427,0.019711369236184443,1.0,0.03866068346565413,56,2785,345,0
0.01687374749498998,0.020050125313283207,1.0,0.03931203931203931,56,2737,393,0
0.017855711422845692,0.02029720913374411,1.0,0.03978685612788632,56,2703,427,0
0.018837675350701404,0.020595807282089002,1.0,0.04036036036036036,56,2663,467,0
0.019819639278557115,0.020833333333333332,1.0,0.04081632653061224,56,2632,498,0
0.020801603206412826,0.021148036253776436,1.0,0.04142011834319527,56,2592,538,0
0.021783567134268537,0.021439509954058193,1.0,0.041979010494752625,56,2556,574,0
0.02276553106212425,0.02173069460613116,1.0,0.04253703000379795,56,2521,609,0
0.02374749498997996,0.02198665096191598,1.0,0.043027276219746446,56,2491,639,0
0.02472945891783567,0.022373152217339192,1.0,0.043767096522078934,56,2447,683,0
0.025711422845691383,0.022718052738336714,1.0,0.044426814756049184,56,2409,721,0
0.026693386773547094,0.023045267489711935,1.0,0.04505229283990346,56,2374,756,0
0.027675350701402805,0.023411371237458192,1.0,0.0457516339869281,56,2336,794,0
0.028657314629258517,0.023759015697921087,1.0,0.04641525072523829,56,2301,829,0
0.029639278557114228,0.024117140396210164,1.0,0.04709840201850295,56,2266,864,0
0.03062124248496994,0.024443474465298997,1.0,0.04772049424797614,56,2235,895,0
0.03160320641282565,0.024800708591674048,1.0,0.04840103716508211,56,2202,928,0
0.03258517034068136,0.025145936237090254,1.0,0.049058256679807274,56,2171,959,0
0.03356713426853708,0.02546612096407458,1.0,0.04966740576496674,56,2143,987,0
0.03454909819639279,0.025878003696857672,1.0,0.05045045045045045,56,2108,1022,0
0.0355310621242485,0.02629107981220657,1.0,0.05123513266239707,56,2074,1056,0
0.036513026052104214,0.02660332541567696,1.0,0.05182785747339195,56,2049,1081,0
0.037494989979959925,0.027079303675048357,1.0,0.05273069679849341,56,2012,1118,0
0.038476953907815636,0.02734375,1.0,0.053231939163498096,56,1992,1138,0
0.03945891783567135,0.027654320987654323,1.0,0.05382027871215762,56,1969,1161,0
0.04044088176352706,0.028197381671701913,1.0,0.05484818805093046,56,1930,1200,0
0.04142284569138277,0.02857142857142857,1.0,0.05555555555555555,56,1904,1226,0
0.04240480961923848,0.02909090909090909,1.0,0.05653710247349823,56,1869,1261,0
0.04338677354709419,0.02948920484465508,1.0,0.05728900255754476,56,1843,1287,0
0.044368737474949904,0.029914529914529916,1.0,0.058091286307053944,56,1816,1314,0
0.045350701402805615,0.03027027027027027,1.0,0.05876180482686254,56,1794,1336,0
0.04633266533066133,0.030601092896174863,1.0,0.05938494167550371,56,1774,1356,0
